DEPARTAMENTO;FUERZA POPULAR;JUNTOS POR EL PERU;RENOVACION POPULAR;PARTIDO DEL BUEN GOBIERNO
AMAZONAS;17.395;36.272;3.697;3.636
ANCASH;17.951;14.945;6.040;7.433
APURIMAC;6.890;40.976;3.158;3.643
AREQUIPA;7.310;10.072;10.599;18.656
AYACUCHO;8.102;31.311;2.736;5.547
CAJAMARCA;13.850;41.635;3.245;4.609
CALLAO;20.666;3.008;15.034;15.020
CUSCO;6.090;22.859;4.737;8.893
HUANCAVELICA;7.050;43.361;2.341;3.238
HUANUCO;15.430;29.764;5.901;4.650
ICA;20.294;7.724;9.422;9.872
JUNIN;17.050;12.278;7.592;7.992
LA LIBERTAD;20.264;9.825;8.198;9.398
LAMBAYEQUE;26.400;10.733;8.588;10.324
LIMA;17.898;3.283;19.895;15.097
LORETO;27.879;10.170;6.677;3.625
MADRE DE DIOS;13.516;23.375;3.390;5.189
MOQUEGUA;6.642;12.861;5.803;10.434
PASCO;18.769;18.668;6.578;4.469
PIURA;27.988;11.342;6.723;8.792
PUNO;3.902;24.092;1.916;4.149
SAN MARTIN;23.200;23.958;5.858;4.454
TACNA;6.855;11.862;6.211;11.452
TUMBES;34.136;6.988;5.913;5.476
UCAYALI;29.601;12.782;5.686;4.431
